Comment,Designator,Footprint,LCSC
SI2301CDS-T1-GE3,"Q1,Q2",SOT-23,C10487
10pF,C3,C_0805_2012Metric,C107107
BLM18PG121SN1D,"FB1,FB2",L_0603_1608Metric,C14709
47pF,C4,C_0805_2012Metric,C14857
100K,"R18,R19",R_0805_2012Metric,C149504
10uF/6V3,"C1,C2,C6,C9",C_0805_2012Metric,C15850
10nF,"C10,C5,C7,C8",C_0805_2012Metric,C1710
1K,"R12,R5,R6",R_0805_2012Metric,C17513
1Meg,"R1,R2,R3,R4",R_0805_2012Metric,C17514
220K,R16,R_0805_2012Metric,C17556
510R,"R10,R11,R7",R_0805_2012Metric,C17734
51R,R9,R_0805_2012Metric,C17738
1SMA4744A,D3,D_SMA,C19077482
1R,R15,R_0805_2012Metric,C25271
5.1K,"R13,R14,R17,R20",R_0805_2012Metric,C27834
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369
FHW1812IF471KST,L2,L_1812_4532Metric,C394141
MLF2012E100KTD25,L1,L_0805_2012Metric,C524464
TLV431,U4,SOT-23,C56765
TP4054,U2,SOT-23-5,C668215
LTC6268IS6,U1,TSOT-23-6,C689166
MK-12C02-G025,SW1,SW_SPDT_PCM12,C778186
B5819W SL,D5,D_SOD-123,C8598
LP2985-3.3,U3,SOT-23-5,C95414
XL-3210SURC,D2,LED_Side_3.2x1.5,C965874
XL-3210UGC,D1,LED_Side_3.2x1.5,C965877
MountingHole_Pad,H1,MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom,
Conn_Coaxial,J1,SMA_Male_EdgeMount,
BHC-18650-1P,BT1,BHC-18650-1P,
