Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF/6V3,C_0805_2012Metric,45.0,3.5,-90.0,top
C2,10uF/25V,C_0805_2012Metric,45.75,0.25,180.0,top
C3,10pF,C_0805_2012Metric,101.5,-6.5,0.0,top
C4,47pF,C_0805_2012Metric,97.0,-4.0,0.0,top
C5,10nF,C_0805_2012Metric,54.5,-6.5,180.0,top
C6,10uF,C_0805_2012Metric,40.0,1.75,-90.0,top
C7,10nF,C_0805_2012Metric,51.0,3.5,90.0,top
C8,10nF,C_0805_2012Metric,40.0,-2.25,-90.0,top
C9,10uF/6V3,C_0805_2012Metric,97.0,4.0,180.0,top
C10,10nF,C_0805_2012Metric,32.75,-3.25,0.0,top
D1,XL-3210UGC,LED_Side_3.2x1.5,3.5,-6.25,180.0,top
D2,XL-3210SURC,LED_Side_3.2x1.5,3.5,6.25,0.0,top
D3,1SMA4744A,D_SMA,54.0,0.5,90.0,top
D5,B5819W SL,D_SOD-123,49.75,-2.0,180.0,top
FB1,BLM18PG121SN1D,L_0603_1608Metric,37.25,2.75,180.0,top
FB2,BLM18PG121SN1D,L_0603_1608Metric,24.0,2.75,180.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,30.0,7.25,180.0,top
L1,MLF2012E100KTD25,L_0805_2012Metric,107.25,-0.0,180.0,top
L2,FHW1812IF471KST,L_1812_4532Metric,45.25,-4.35,90.0,top
Q1,SI2301CDS-T1-GE3,SOT-23,60.25,4.5,180.0,top
Q2,SI2301CDS-T1-GE3,SOT-23,31.0,-0.25,270.0,top
R1,1Meg,R_0805_2012Metric,104.5,5.75,-90.0,top
R2,1Meg,R_0805_2012Metric,104.5,2.0,-90.0,top
R3,1Meg,R_0805_2012Metric,104.5,-2.0,-90.0,top
R4,1Meg,R_0805_2012Metric,104.5,-5.75,-90.0,top
R5,1K,R_0805_2012Metric,101.5,4.0,0.0,top
R6,1K,R_0805_2012Metric,101.5,6.5,180.0,top
R7,510R,R_0805_2012Metric,101.5,-4.0,0.0,top
R9,51R,R_0805_2012Metric,97.0,-6.5,180.0,top
R10,510R,R_0805_2012Metric,60.25,1.75,0.0,top
R11,510R,R_0805_2012Metric,37.25,4.75,0.0,top
R12,1K,R_0805_2012Metric,34.5,-0.25,90.0,top
R13,5.1K,R_0805_2012Metric,36.5,8.0,-90.0,top
R14,5.1K,R_0805_2012Metric,23.5,8.0,-90.0,top
R15,1R,R_0805_2012Metric,97.0,6.5,180.0,top
R16,220K,R_0805_2012Metric,61.25,8.0,-90.0,top
R17,5.1K,R_0805_2012Metric,57.25,4.5,-90.0,top
R18,100K,R_0805_2012Metric,55.25,8.0,-90.0,top
R19,100K,R_0805_2012Metric,53.0,8.0,90.0,top
R20,5.1K,R_0805_2012Metric,29.25,-3.25,0.0,top
SW1,MK-12C02-G025,SW_SPDT_PCM12,45.0,8.75,180.0,top
U1,LTC6268IS6,TSOT-23-6,101.5,-0.0,0.0,top
U2,TP4054,SOT-23-5,37.25,-0.25,270.0,top
U3,LP2985-3.3,SOT-23-5,48.0,3.5,270.0,top
U4,TLV431,SOT-23,58.25,8.0,0.0,top
